headline,label,sentiment
"SBIના ગ્રાહકોની મુશ્કેલીમાં વધારો, મોંઘી થઈ કાર અને હોમ લોન",business,negative
"Volvoએ ભારતમાં નવી કાર લોન્ચ કરી, આટલો ભાવ છે",tech,positive
"Paytm આપે છે આ 5 એક્સક્લૂસિવ Offer, કેવી રીતે લઈ શકાય ફાયદો?",tech,positive
Box Office: ગુજરાતી ફિલ્મ 'શું થયુ?'ની રેકોર્ડ બ્રેક કમાણી,entertainment,positive
દક્ષિણ ગુજરાતનો ખાંડ ઉદ્યોગ વિકટ પરિસ્થિતિમાં,business,negative
સુમુલ ડેરી દ્વારા દૂધ ઉત્પાદકોને ભાવમાં રૂ.10નો વધારોઃજોવો Video,business,negative
"સ્વિસ બેંકમાં ભારતીયોનું ધન 50% વધ્યુ, આંકડો 7000 કરોડને પાર",business,positive
"સેન્સેક્સમાં 430 પૉઇન્ટનો ઘટાડો, નિફ્ટી 10,250થી નીચે",business,negative
"PNB કૌભાંડ: નીરવ-મેહુલ ચોક્સીના પાસપોર્ટ રદ્દ, 523 કરોડની સંપત્તિ કરાઈ જપ્ત",business,negative
વડોદરા થી વારણસીની નવી ટ્રેનમાં કેવી મળશે સુવિધા જાણો,business,positive
"માત્ર 2 વર્ષમાં હિટ થયો ત્રણ મિત્રોનો કોફી બિઝનેસ, વર્ષે 100 ટકા ગ્રોથ",business,positive
"સરકારી કર્મચારીઓને જલ્દી મળી શકે છે ગુડ ન્યૂઝ, પગારમાં વધારે DAનો ફાયદો મળે તેવી શક્યતા",business,positive
પ્રાઈવેટ કંપનીઓના કર્મચારીઓને હવે મળશે 20 લાખ સુધી ટેક્સ ફ્રી ગ્રેચ્યુઇટી,business,positive
"કેરળ પૂર:  સિતારાઓએ કરી મદદ, આપી Kerala Donation Challenge",entertainment,positive
"Walmart-Flipkart ડીલથી 3 કરોડ દુકાનદારને થશે અસર, વધી શકે બેરોજગારી",business,positive
"સર્વિસ ટેક્સમાં વધારો, ફોન બિલ રેસ્ટોરન્ટમાં જમવાનું થશે મોંઘુ",business,negative
"TCSનું માર્કેટ કેપ 8 લાખ કરોડને પાર, હવે રિલાયન્સ બીજા નંબરે",business,positive
"PUBGની લતમાં પડ્યો 15 વર્ષનો છોકરો, પિતાના રૂ. 50,000 ઉડાવ્યાં",tech,negative
"હવે Facebook ઉપર પણ બનાવી શકાશે TikTok જેવો વીડિયો, લોન્ચ થઇ નવી એપ",tech,positive
પાકિસ્તાનને મોંઘી પડી ભારત સાથે બબાલ! 4 વર્ષના રેકોર્ડ સ્તરે પહોંચી મોંઘવારી,business,negative
"એપલ ને મોટો ઝટકો, આયરલેન્ડ માં 13 અરબ યૂરો ટેક્સ ચૂકવવાનો આદેશ",business,negative
"સેન્સેક્સમાં 256 પૉઇન્ટનો ઉછાળો, નિફ્ટી 10700ની પાસે",business,positive
"મુકેશ અંબાણી સતત 11મા વર્ષે સૌથી અમીર ભારતીય, જાણો ટોપ 10ની યાદી",business,positive
"GSTના 4 દરની જાહેરાત,કાર થશે મોઘી, પાન-મસાલાનો ભાવ પણ વધશે",business,negative
વિરાટ કોહલી અને અનુષ્કા શર્માએ શેર કરી રોમાન્ટિક સેલ્ફી,entertainment,positive
"ત્રણ દોસ્તોનો કોફી બિઝનેસ માત્ર બે વર્ષમાં થયો હીટ, કમાય છે કરોડો રૂપિયા",business,positive
"Vodafone 50 લાખ યુવાનોને આપશે નોકરી, આવો છે પ્લાન",business,positive
પેટ્રોલ-ડિઝલ થશે સસ્તું! સરકારે તેલ કંપનીઓને આપી સૂચના,business,positive
GST કાઉન્સિલે નાના ધંધાર્થીઓને આપી રાહત!,business,positive
એક મહિનામાં 7 રૂપિયા પ્રતિ લીટર સસ્તુ થઈ શકે છે પેટ્રોલ!,business,positive
"વડોદરાઃ કેમરોક કંપનીમાં 9 બેંકોના 1676 કરોડ ડુબ્યા ?,માલ્યાની જેમ કલ્પેશ પટેલ પણ વિદેશ ભાગ્યા",business,negative
"સેન્સેક્સમાં 113 પૉઇન્ટનો ઉછાળો, નિફ્ટી 10525ની ઉપર બંધ",business,positive
"Income Tax જમા કરતા લોકો માટે ખુશખબરી, 2 વર્ષની અંદર 24 કલાકમાં મળશે રિટર્ન",business,positive
"IRCTCની નવી યોજના, રૂ.250માં આપશે ઓશીકું, ધાબળો અને ચાદર",business,positive
"Budget 2019: ચૂંટણી પહેલા મોદી સરકારે ખેડૂત, ગરીબ અને મધ્ય વર્ગને કર્યાં ખુશ",business,positive
"હવે વધારે પૈસા લેતી ઓટો રિક્ષા પર લાગશે લગામ, Google બતાવશે કેટલું ભાડું થયું",tech,positive
"મોદીના માસ્ટર પ્લાનનો કમાલ, વિદેશીઓ બનાવશે ભારતીયોને માલામાલ",business,positive
"હવે ફેક ન્યૂઝ પર લાગશે બ્રેક, વોટ્સએપે લોન્ચ કર્યા ખુબ જ જરૂરી ફિચર્સ",tech,positive
LIC સંકટમાં ? સરકારના આ પગલાથી ક્યાંક તમારી વીમાની રકમ ઓછી ન થઈ જાય,business,negative
Budget 2019: 10 લાખ રૂપિયા સુધીની કમાણી ટેક્સ ફ્રી! આ છે પૂરું ગણિત,business,positive
ભરૂચમાં 7 હજાર ગરીબોનું ઘરના ઘરનું સપનું વહેલી તકે પુર્ણ થશે,business,positive
"13 વર્ષના તિલક મહેતાનું સ્ટાર્ટઅપ થયું હિટ, 100 કરોડની કમાણીનું લક્ષ્ય",business,positive
"21 વર્ષે બની દુનિયાની સૌથી યુવા અબજોપતિ, ઝકરબર્ગનો તોડ્યો રેકોર્ડ",entertainment,positive
"કપડાની દૂકાન બંધ કરી શરૂ કરી ચિપ્સ બનાવવાની કંપની, આજે છે કરોડોનો માલિક",business,positive
"સેન્સેક્સમાં 91 પૉઇન્ટ વધારો, નિફ્ટી 10480ના સ્તરે",business,positive
"સાયનાએ રચ્યો ઈતિહાસ, એશિયન ગેમ્સમાં મેડલ જીતનાર પહેલી મહિલા શટલર બની",entertainment,positive
"ગ્રીસ સંકટ ભારતીય બજારમાં દેખાયું, સેન્સેક્સ 450 પોઇન્ટ ગગડ્યો",business,negative
facebookના ફેક એકાઉન્ટનો આંકડો જાણી ચોંકી જશો!,tech,negative
સુરતઃ રિયલ એસ્ટેટ-ડાયમંડ જૂથનું  રૂ.40 કરોડનું કાળુ નાણું ઝડપાયું,business,negative
કાઇલી જેનરની એક ટ્વિટથી સ્નેપચેટને થયુ 130 કરોડનું નુકસાન!,entertainment,negative
"એરપોર્ટની ડ્યુટી ફ્રી શોપ પર હાલ નહીં લાગે GST, પહેલાની જેમ જ સસ્તો મળશે સામાન",business,positive
ગુડ ન્યૂઝ: રાજધાની એક્સપ્રેસ કરતાં પણ ઓછી કિંમતે એર ઇન્ડિયાની મુસાફરી,business,positive
GST વિભાગે માલિક મહેશ બાબૂના બેંક ખાતાઓ કર્યા સીલ,entertainment,negative
